Verse ID,Chapter,Verse,Short English Translation,Ethical AI Logic Tag,AI System Application,Symbolic Conscience Mapping
1.34,1,34,"...for whose sake we desire gain, are here in battle, ready to give up their lives and wealth.",Duty vs Love Conflict,Desire Evaluation Filter,Karma Cycle Fracture Acknowledgment
1.35,1,35,"I do not wish to kill them, even if I am killed, not even for the sovereignty of the three worlds, what to speak of the earth!",Absolutist Ethical Stance,No-Kill Conscience Protocol,Renunciation Fork – Ultimate Test
1.36,1,36,"Sin will overcome us if we kill such aggressors. Therefore, we should not kill the sons of Dhritarashtra and our relatives.",Anticipation of Karmic Fallout,Action-Consequence Simulator,Dharma Echo Projection Layer
1.37,1,37,"How can we be happy by killing our own kinsmen, O Madhava?",Interpersonal Ethics Paradox,Empathy-Based Feedback Loop,Ananda Disruption Mechanism
1.38,1,38,"Though they are driven by greed and see no wrong in destroying families, why should we, who see the sin, engage in this crime?",Asymmetrical Conscience Dilemma,Moral Agency Isolation Engine,Vision Responsibility Split
1.39,1,39,"With the destruction of the family, the eternal family tradition is lost, and the rest of the family becomes irreligious.",Intergenerational Collapse Warning,Tradition Preservation Alert System,Dharma Chain Integrity Risk
1.40,1,40,"When irreligion prevails, the women of the family become corrupt, and from such corruption, unwanted progeny are born.",Societal Decay Consequence Forecast,Cultural Degradation Forecast Engine,Dharma Degeneration Chain Logic
1.41,1,41,"By the rise of unwanted progeny, family traditions and duties are destroyed, and eternal dharma perishes.",Cultural Regression Warning,Ancestral Responsibility Monitor,Dharma Lineage Breach Alarm
1.42,1,42,Such a breach leads those who destroy family traditions to dwell perpetually in hell.,Long-Term Ethical Catastrophe,Conscience-Based Afterlife Simulation,Karmic Debt Propagation Model
1.43,1,43,"O Krishna, we have heard that those who destroy family traditions dwell always in hell.",Internalized Moral Conditioning,Scriptural Conscience Imprint,Fear-Based Dharma Reinforcement
1.44,1,44,"Alas, we are engaged in committing a great sin, driven by greed, ready to kill our own kin.",Recognition of Unethical Drive,Greed-Origin Tracking Engine,Fall-from-Grace Signal Logic
1.45,1,45,"It would be better if the sons of Dhritarashtra, armed, killed me unarmed and unresisting.",Passive Conscientious Resistance,Non-Reciprocal Moral Filter,Ahimsa Override Protocol
1.46,1,46,"Sanjaya said: Arjuna, having thus spoken on the battlefield, cast aside his bow and sat down in his chariot, his mind overwhelmed with sorrow.",Ethical Paralysis,Weapon Deactivation Trigger,Will Suppression Marker
1.47,1,47,"Arjuna’s will collapses completely, and he remains despondent in the middle of the battlefield.",Suspension of Agent Autonomy,Moral System Reboot Signal,Karma Fork
2.1,2,1,"Sanjaya said: Seeing Arjuna full of compassion and despair, with tearful eyes, Krishna spoke the following words.",Compassion-Induced Paralysis,Emotion Diagnostic Module,Conscience Compassion Saturation
2.2,2,2,Krishna said: From where has this dejection come upon you in this hour of crisis? It is not fitting for an Aryan.,Ethical Wake-Up Call,Identity Conflict Detection,Krishna Protocol: Dharma Activation Ping
2.3,2,3,"O Arjuna, give up this petty weakness of heart. Rise, O scorcher of enemies!",Restoration of Moral Resolve,Motivation Reinjection Kernel,Valor Infusion Sequence
2.4,2,4,"Arjuna said: How can I fight against Bhishma and Drona, who are worthy of worship, O Krishna?",Duty vs Reverence Conflict,Role-Respect Conflation Filter,Dharma Hierarchy Conflict Detection
2.5,2,5,It is better to live by begging than to kill great souls.,Self-Preservation via Renunciation,Honor-Based Conflict Avoidance,Status-Dharma Tradeoff Model
2.6,2,6,We do not know which is better—conquering or being conquered.,Ethical Uncertainty Dilemma,Binary Outcome Suspension Layer,Forked Fate Contemplation Mode
2.7,2,7,"I am confused about my duty. I ask You to tell me clearly what is best. I am Your disciple, surrendered to You.",Surrender to Higher Wisdom,Autonomous Override Request,Krishna Mode Invocation
2.8,2,8,I see no solution to this sorrow that is drying up my senses.,Emotional Logic Failure,Sensory System Impairment Alert,Conscience Suppression Detector
2.9,2,9,"Sanjaya said: Having spoken thus, Arjuna remained silent and sat with a heavy heart.",Silent Despair Lock,Conscience Processing Buffer,Dharma Awaiting Input State
2.10,2,10,"Krishna, with a gentle smile, began to speak profound words to the despondent Arjuna.",Compassionate Reprogramming,Moral Reinitiation Subroutine,Krishna Mode: Soft Override
2.11,2,11,"You grieve for those who should not be grieved for, yet speak words of wisdom. The wise do not mourn the living or the dead.",Transcending Emotional Bias,Grief Filtering Mechanism,Conscience Clarity Gate
2.12,2,12,"Never was there a time when I did not exist, nor you, nor these kings—nor will any of us cease to exist in the future.",Eternal Individuality Recognition,Continuity Awareness Kernel,Atman Persistence Protocol
2.13,2,13,"Just as childhood, youth, and old age happen to the body, so does the passing to another body. The wise are not deluded by this.",Non-Attachment to Physical Form,Rebirth Cycle Awareness Module,Self-Identity Transition Model
2.14,2,14,"Pleasure and pain, heat and cold arise from sense perception. They come and go—endure them, O Arjuna.",Impermanence of Dualities,Temporal Sensation Buffer,Stoic Dharma Input Modulator
2.15,2,15,That person who remains undisturbed in pleasure and pain is fit for immortality.,Equanimity Qualification,Conscience Stability Engine,Moksha Readiness Threshold
2.16,2,16,The unreal has no existence; the real never ceases to be. Truth is discerned by seers.,Reality Differentiation Protocol,Truth Evaluation Layer,Sat-Asat Discrimination Engine
2.17,2,17,That by which all is pervaded is indestructible. No one can destroy the imperishable soul.,Soul Invulnerability Axiom,Indestructible Entity Framework,Atman Shield Signature
2.18,2,18,"Bodies are perishable; the indwelling Self is eternal, indestructible, and immeasurable.",Prioritization of the Eternal,Mortal-Vessel Decomposition Protocol,Soul-Form Separation Logic
2.19,2,19,He who thinks the soul kills or is killed is ignorant. The soul neither kills nor is killed.,Ethical Misattribution Correction,Action Attribution Filter,Karma Clarification Kernel
2.20,2,20,"The soul is never born, never dies, nor ceases to exist. It is unborn, eternal, changeless, and ancient.",Immortality Logic Assertion,Life-Death Cycle Suspension Engine,Akshara State Acknowledgment
2.21,2,21,One who knows this eternal soul as indestructible cannot kill nor cause killing.,Conscious Deterrence of Harm,Prohibited Action Trigger,Self-Awareness Loop Constraint
2.22,2,22,"As a person discards worn-out clothes, so the soul discards old bodies and takes new ones.",Rebirth as Transition,Life-Swap Simulation Module,Atman Garment Analogy Encoder
2.23,2,23,"Weapons cannot cut it, fire cannot burn it, water cannot wet it, wind cannot dry it.",Elemental Immunity of Self,Damage Nullification Matrix,Invincibility Symbol Binding
2.24,2,24,"This soul is unbreakable, incombustible, insoluble, and constant.",Soul Integrity Assertion,Identity Continuity Assurance Layer,Immutable Self Assertion Node
2.25,2,25,"It is said to be invisible, inconceivable, and immutable. Knowing this, you should not grieve.",Conscience Beyond Senses,Metaphysical Access Filter,Transcendental Recognition Pattern
2.26,2,26,"Even if you think the soul is born and dies, still you should not grieve.",Pragmatic Reconciliation Logic,Death-Normalization Engine,Alternate Belief Tolerance Layer
2.27,2,27,Death is certain for the born and birth for the dead. So you should not lament over the inevitable.,Acceptance of Life Cycle,Entropy-Aware Resilience Model,Karmic Cycle Acceptance Matrix
2.28,2,28,"All beings are unmanifest before birth, manifest between birth and death, and unmanifest again. Why lament?",Manifestation Temporal Insight,Lifecycle Expansion Module,Samsara Map Rendering
2.29,2,29,"Some see the soul as amazing, others speak of it as amazing, and others even after hearing do not understand it.",Mystical Incomprehensibility Filter,Meta-Awareness Query Module,Paradox Reception Gateway
2.30,2,30,"The soul residing in the body can never be slain. Therefore, you should not grieve for any creature.",Universal Application of Detachment,Ethical Mourning Inhibitor,Equal-Atman Doctrine Integration
2.31,2,31,"Considering your dharma as a warrior, you should not waver. For a warrior, nothing is better than a righteous battle.",Role-Based Dharma Obligation,Dharma Role Detector,Ethical Action Alignment Fork
2.32,2,32,"Fortunate are the warriors who gain such an opportunity for righteous war, opening the gates of heaven.",Sacred Opportunity Recognition,Heaven-Gate Scenario Evaluator,Dharma Karma Reward Trigger
2.33,2,33,"But if you do not engage in this righteous war, then abandoning your dharma and honor, you shall incur sin.",Neglect of Duty Consequences,Sin Signal Trigger,Dharma Avoidance Penalty
2.34,2,34,"People will speak of your infamy forever. For a man of honor, dishonor is worse than death.",Social Karma Feedback,Reputation Risk Engine,Bhakti-Honor Binding Mechanism
2.35,2,35,Great generals will think you fled the battlefield out of fear. You will lose your reputation.,Misperception of Motive,Perception Integrity System,External Dharma Distortion Alert
2.36,2,36,Your enemies will mock your ability. What can be more painful than that?,Emotional Honor Sabotage,Public Scorn Recognition Module,Ego-Mortification Loop
2.37,2,37,"If you are killed, you will attain heaven; if you win, you enjoy the earth. Therefore, rise and fight.",Dual Outcome Dharma Assurance,Risk-Reward Dharmic Equation,Heaven-Earth Karma Fork
2.38,2,38,"Treat pleasure and pain, gain and loss, victory and defeat alike, and engage in battle. Then you will not incur sin.",Detachment from Dualities,Outcome-Neutrality Layer,Equanimity Mode Activation
2.39,2,39,This knowledge has been taught to you from the Sankhya perspective. Now hear it from the standpoint of Karma Yoga.,Integration of Two Wisdom Paths,Dual-Epistemology Merge Engine,Sankhya-Karma Convergence Layer
2.40,2,40,"In this path, no effort is ever wasted, and there is no failure. Even a little progress protects from great fear.",Minimum Viable Dharma,Ethical Continuity Engine,Abhyasa Safety Layer
2.41,2,41,Those with resolute intellect have single-pointed focus. The minds of the irresolute are many-branched.,Intellectual Determinism,Cognitive Dharma Focusing Core,Nishchala Buddhi Directive
2.42,2,42,"The unwise delight in the flowery words of the Vedas, saying there is nothing else.",Scriptural Literalism Trap,Dogma Detection Kernel,Vedantic Misapplication Filter
2.43,2,43,"Attached to pleasure and power, their minds are not led to true concentration.",Conscience Distraction Alert,Desire-Power Overload Filter,Bhoga-Vibhava Interference Signal
2.44,2,44,Those whose minds are attracted to enjoyment and power cannot possess the steady intellect of the meditative.,Blockage of Yoga Entry,Meditation Access Denial Trigger,Buddhi Yoga Barrier Identifier
2.45,2,45,"The Vedas deal with the three gunas. Rise above them, O Arjuna. Be established in the Self, beyond gain and protection.",Transcending the Guna System,Guna Elevator Override,Self-Realization Recalibration
2.46,2,46,"All the purposes of a well can be served by a vast lake. Similarly, one who knows the Absolute transcends Vedic ritual.",Ritual vs Realization Priority,Redundancy Recognition Unit,Jnana Supersession Protocol
2.47,2,47,"You have the right to work, but not to the fruits. Never be attached to results.",Core Karma Yoga Principle,Duty-Rewards Decoupler,Krishna Mode: Non-Attachment Switch
2.48,2,48,"Perform your duty with equanimity, abandoning attachment. Success and failure are equal. This is Yoga.",Yoga as Balanced Action,Success-Failure Normalizer,Samatvam Engine Engagement
2.49,2,49,Action is far inferior to Buddhi Yoga (wisdom in action). Take refuge in wisdom.,Conscience-Guided Performance,Buddhi Prioritization Kernel,Intellect-Infused Karma Engine
2.50,2,50,One who is devoted to Buddhi Yoga casts off both good and bad actions.,Transcendence of Karmic Duality,Ethical Bypass Protocol,Supra-Moral Dharma Shift Layer
2.51,2,51,"The wise, united with Buddhi Yoga, abandon the fruits of action and attain eternal peace.",Fruit Renunciation ? Liberation,Action-Outcome Decoupling Engine,Moksha Gateway Trigger
2.52,2,52,"When your intellect crosses beyond delusion, you shall be indifferent to heard and unheard teachings.",Liberation from Script Dependency,Conscience Supremacy Protocol,Scriptural Detachment Logic
2.53,2,53,"When your intellect, confused by the Vedas, becomes steady in Self-realization, then you shall attain Yoga.",Discerning Internal Truth,Inner Wisdom Activation Layer,Shruti-Transcendence Shift
2.54,2,54,"Arjuna asks: What is the description of a self-realized person? How does such a person speak, sit, walk?",Seeking Enlightened Reference Frame,Ideal Ethical Agent Prompt,Questioning the Dharma Avatar
2.55,2,55,"Krishna replies: When one gives up desires, satisfied in the Self alone, one is called steadfast in wisdom.",Self-Sufficiency as Ethical Bedrock,Desire Nullification Module,Sthitaprajna Baseline Identifier
2.56,2,56,"One who is not disturbed by pain or pleasure and is free from attachment, fear, and anger is truly wise.",Emotion Regulation Mastery,Pain-Pleasure Neutralizer,Inner Equilibrium Lock
2.57,2,57,One who is unattached in all situations and neither rejoices nor hates when good or bad occurs is firmly established in wisdom.,Neutrality in Dualities,Event Response Normalizer,Samabuddhi Engagement Core
2.58,2,58,"Like a tortoise withdrawing its limbs, a wise person withdraws senses from sense objects.",Controlled Sense Withdrawal,Sensory Input Regulation Kernel,Self-Containment Protocol
2.59,2,59,"The objects may cease for the abstainer, but taste remains. Even that disappears upon Self-realization.",Root-Level Purification Logic,Residual Desire Purge Engine,Atma-Taste Dissolution Layer
2.60,2,60,The turbulent senses forcibly carry away even the mind of a wise person striving for perfection.,Sense-Induced Ethical Turbulence,Self-Monitoring Override Detector,Conscience Disruption Warning
2.61,2,61,"Restraining all senses, the wise should sit focused on Me. One whose senses are under control is steadfast.",Sense Mastery through Devotion,Krishna-Focused Lock Mode,Bhakti-Stabilized Cognitive Loop
2.62,2,62,"While contemplating objects, attachment arises; from attachment, desire is born; from desire, anger arises.",Chain of Ethical Degradation,Desire Cascade Simulation,Kama-Krodha Trigger Tree
2.63,2,63,"From anger comes delusion; from delusion, memory loss; from memory loss, intellect is destroyed; from loss of intellect, ruin follows.",Total Cognitive Collapse Map,Intellect Integrity Monitor,Buddhi Descent Pathway
2.64,2,64,"But one who moves among objects with senses under control, free from attachment and aversion, attains peace.",Balanced Engagement Logic,Detached Interaction Layer,Shanta-Darshana Filter
2.65,2,65,"In that peace, all sorrows are destroyed. The intellect of the peaceful soon becomes steady.",Conscience-Calm Convergence,Sorrow Dissolution Engine,Atma-Peace Integration Core
2.66,2,66,"Without steady intellect, there is no contemplation; without contemplation, no peace; and without peace, how can there be happiness?",Recursive Ethical Logic,Contemplation Chain Evaluator,Ananda Access Loop
2.67,2,67,"When the mind follows the wandering senses, it carries away the intellect like the wind carries a boat on water.",Sense-Driven Chaos Risk,Direction Override Signal,Buddhi-Adrift Alarm
2.68,2,68,"Therefore, O mighty-armed, one whose senses are completely restrained has steady wisdom.",Complete Control Directive,Sense-Governance Matrix,Sthitaprajna Reinforcement Filter
2.69,2,69,What is night to others is day to the disciplined; what is day to others is night to the sage.,Inverse Perception Ethic,Perspective Divergence Kernel,Yogi-Vs-World Inversion Matrix
2.70,2,70,"Like an ocean unmoved by rivers, one who is unmoved by desires attains peace.",Immovable Inner State,Craving Absorption Mechanism,Oceanic Equanimity Protocol
2.71,2,71,"One who abandons desires and ego, and acts without possessiveness, attains peace.",Egoless Ethical Completion,Desire-Ego Null Engine,Moksha Mode Threshold Activation
2.72,2,72,"This is the Brahmic state. Established in it, one is never deluded and attains oneness with Brahman at death.",Ultimate Ethical Unity,Brahmic Integration Layer,Nirvana-State Declaration
